id,created_at,text,retweet_count,favorite_count
846584144515751937,Tue Mar 28 04:46:03 +0000 2017,Wind usually helps blow away smog but changes in weather patterns have left many of China’s cities suffocating https://t.co/L6coL502K4,366,315
846583410667741185,Tue Mar 28 04:43:08 +0000 2017,Review: John Leguizamo Turns Nutty Professor in ‘Latin History for Morons’ https://t.co/CS9JM4dTE1,116,304
846580368958480384,Tue Mar 28 04:31:03 +0000 2017,RT @NYTSports: Las Vegas found cash for an N.F.L. stadium but not its public schools @powellnyt points out https://t.co/b7B6zrI2Qw https:/…,640,0
846577562188951552,Tue Mar 28 04:19:54 +0000 2017,Father of Maryland Teenager Charged With Rape Is Arrested https://t.co/OsK9ZDmBs6,87,178
846576590935015424,Tue Mar 28 04:16:02 +0000 2017,President Trump is expected to sign an executive order Tuesday reversing Obama climate rules https://t.co/gY2EWD4bp7,495,289
846572837653659649,Tue Mar 28 04:01:07 +0000 2017,Top House Democrats ask Devin Nunes to recuse himself from Russia investigation https://t.co/dL9Pylu8OI,423,1269
846569048167141376,Tue Mar 28 03:46:04 +0000 2017,Opinion: The all-male photo op isn’t a gaffe. It’s a strategy. https://t.co/IaCNtWGJSE,1130,1419
846565283124908032,Tue Mar 28 03:31:06 +0000 2017,RT @nytopinion: “Look I’m a policy guy.” His own party showed Paul Ryan what they thought of his policy. https://t.co/kXhgrQLldC https://t…,142,0
846561532007911425,Tue Mar 28 03:16:12 +0000 2017,News Analysis: Planned Rollback of Climate Rules Unlikely to Achieve All Trump’s Goals https://t.co/IoBq36VkC8,162,242
846557730219442177,Tue Mar 28 03:01:05 +0000 2017,Looking on the sunny side may actually improve health and extend life https://t.co/7HuOViEN3a,536,1109
846554240579448833,Tue Mar 28 02:47:13 +0000 2017,An extraordinarily complex and costly experiment to mimic the sun takes shape in France https://t.co/2K97FT1p53 https://t.co/uatnc4DOn2,281,491
846550168413634560,Tue Mar 28 02:31:02 +0000 2017,How to avoid those pesky airline fees https://t.co/WdZzQOwDls,94,243
846546386636197888,Tue Mar 28 02:16:01 +0000 2017,RT @BenWeiserNYT: Rudy Giuliani a Trump advisor retained by Turkish businessman Reza Zarrab to negotiate plea deal prosecutors say. http…,657,0
846543261388984320,Tue Mar 28 02:03:36 +0000 2017,Medicaid started out as a small program to cover poor people's medical bills. Now it covers 1 in 5 Americans.… https://t.co/qLsYPRexoV,373,533
846539094117232640,Tue Mar 28 01:47:02 +0000 2017,Democrats say Devin Nunes is too close to the White House to lead independent inquiry into Russian election meddling https://t.co/VZ0VUUs7Qj,906,2445
846535067795120129,Tue Mar 28 01:31:02 +0000 2017,Opinion: Paul Ryan brought down to size https://t.co/e515oclwXC,393,999
846531305588359169,Tue Mar 28 01:16:05 +0000 2017,Evening Briefing: Here's what you need to know at the end of the day https://t.co/BhsClA74Ta https://t.co/jrnQAbHYTR,106,164
846527522590396416,Tue Mar 28 01:01:03 +0000 2017,RT @NYTMetro: If convicted the suspect in a Manhattan killing could spend life in prison on terror hate crime charges. https://t.co/lNtzy…,97,0
846523764473024513,Tue Mar 28 00:46:07 +0000 2017,“Black and white photography just has a harmony that I like” says this Brooklyn street photographer… https://t.co/hkV8ji00Nb,144,480
846519995253342209,Tue Mar 28 00:31:09 +0000 2017,"Devin Nunes met source on White House grounds before saying Trump associates may have been ""incidentally"" monitored https://t.co/ghAEEap2wr",311,466
846516194714796034,Tue Mar 28 00:16:02 +0000 2017,"The Republicans in power: From ""we got this"" to ""what now?"" https://t.co/SWzBt0QnSB",175,409
846512435464953856,Tue Mar 28 00:01:06 +0000 2017,RT @michikokakutani: A powerful dystopian novel set in a future US where partisan divides have escalated into full-on civil war My review h…,144,0
846508649673621504,Mon Mar 27 23:46:04 +0000 2017,Training your brain so that you don’t need reading glasses https://t.co/nH1bsA0YBv,239,580
846504890952306688,Mon Mar 27 23:31:07 +0000 2017,"A 221-pound gold coin minted by Canada ""because we can"" was stolen from a Berlin museum. It's worth $4.5 million.… https://t.co/tKWaNjCNYc",389,530
846501092452159488,Mon Mar 27 23:16:02 +0000 2017,Opinion: The all-male photo op isn’t a gaffe. It’s a strategy. https://t.co/Z6nVVzaAv9,630,700
846497328475328514,Mon Mar 27 23:01:04 +0000 2017,RT @nytimesbusiness: Lost in the fury at United over leggings: Airline employee passes come with a dress code https://t.co/CGgh4dvuTf,175,0
846817578458791936,Tue Mar 28 20:13:38 +0000 2017,How to free up your iPhone's storage https://t.co/i1INNy1ZL2 https://t.co/tQizrCj98s,2,4
846817175465791488,Tue Mar 28 20:12:02 +0000 2017,Primark customers unable to buy Beauty and the Beast ‘Chip’ mug 'because of staff' https://t.co/pTgry4OYfx https://t.co/jWUIHfOTLZ,2,3
846816918145257473,Tue Mar 28 20:11:01 +0000 2017,RT @TheSunShowbiz: Tanned Katie Price sparks Photoshop claims as she shows off ridiculously long legs in holiday snap amid outrage ov… http…,2,0
846815436104765440,Tue Mar 28 20:05:07 +0000 2017,REVEALED: Cheryl and Liam Payne's plans to tie the knot https://t.co/bH5JA4OiHo https://t.co/W0ZIyH68YS,8,17
846814654034853888,Tue Mar 28 20:02:01 +0000 2017,Gran warned she is at risk of a heart attack ‘after drinking orange juice for years https://t.co/DrK2LfmYAw https://t.co/x7Ecxti9It,0,2
846814638805307393,Tue Mar 28 20:01:57 +0000 2017,Baby girl who survived hammer attack that killed her twin brother has lost her eyesight and hearing… https://t.co/Jgx3x33tEr,1,2
846813543492136962,Tue Mar 28 19:57:36 +0000 2017,Shock as massive cobra flies out of hole on building site and tries to attack a workman https://t.co/61hjWMn8Je https://t.co/mlhOtIw0sh,7,3
846812141353127936,Tue Mar 28 19:52:02 +0000 2017,Is Apple going to scrap the MacBook? https://t.co/ZZhDERdcBz https://t.co/C6oqkkZgmF,4,3
846811044387393536,Tue Mar 28 19:47:40 +0000 2017,#EastEnders fans left stunned as Michelle Fowler is left fighting for her life https://t.co/KQuRj4X4iy https://t.co/zJGgn5RjIS,2,4
846810715931455491,Tue Mar 28 19:46:22 +0000 2017,RT @TheSunShowbiz: Secret lovers Dan Edgar and Amber Turner did MORE than just kiss during Towie trip to Tenerife https://t.co/86Mp902HbC,1,0
846810378814345219,Tue Mar 28 19:45:01 +0000 2017,Police concern for welfare of mum and two sons who vanished near Nottingham city centre https://t.co/IgF4plxUUR https://t.co/1ueF4Dv6TA,12,4
846809624128970753,Tue Mar 28 19:42:02 +0000 2017,Second Arctic ‘Doomsday Vault’ will allow the world’s precious books to survive Armageddon https://t.co/TD4sf6xc1D https://t.co/iZIiI6W7wF,3,6
846808873226944516,Tue Mar 28 19:39:02 +0000 2017,Mums share the hilarious truths about what it means to be a parent - and they're painfully relatable… https://t.co/Xe1xdAJyW7,4,8
846808007535157248,Tue Mar 28 19:35:36 +0000 2017,Are you a winner? https://t.co/0gmUdrE7zg,0,1
846807826685181952,Tue Mar 28 19:34:53 +0000 2017,RT @TheSunShowbiz: Amir Khan’s wife Faryal Makhdoom risks angering her in-laws again as she poses in skintight nude bodysuit https://t.co/m…,2,0
846807108481880064,Tue Mar 28 19:32:02 +0000 2017,#Emmerdale star Charlotte Bellamy reveals all about her on screen husbands death https://t.co/Af2AjAt0W6 https://t.co/xRbaG485vj,1,3
